$ kubectl logs  kindnet-6fq8s -n kube-system
I0404 11:24:24.224531       1 main.go:390] probe TCP address desktop-control-plane:6443
I0404 11:24:24.226379       1 main.go:109] connected to apiserver: https://desktop-control-plane:6443
I0404 11:24:24.226615       1 main.go:139] hostIP = 172.25.0.2
podIP = 172.25.0.2
I0404 11:24:24.226715       1 main.go:148] setting mtu 65535 for CNI
I0404 11:24:24.226748       1 main.go:178] kindnetd IP family: "ipv4"
I0404 11:24:24.226757       1 main.go:182] noMask IPv4 subnets: [10.244.0.0/16]
time="2026-04-04T11:24:24Z" level=info msg="Created plugin 10-kube-network-policies (kindnetd, handles RunPodSandbox,RemovePodSandbox)"
I0404 11:24:24.330206       1 controller.go:377] "Starting controller" name="kube-network-policies"
I0404 11:24:24.330228       1 controller.go:381] "Waiting for informer caches to sync"
I0404 11:24:24.330233       1 shared_informer.go:350] "Waiting for caches to sync" controller="kube-network-policies"
time="2026-04-04T11:24:24Z" level=info msg="Registering plugin 10-kube-network-policies..."
time="2026-04-04T11:24:24Z" level=info msg="Configuring plugin 10-kube-network-policies for runtime containerd/v2.2.0..."
time="2026-04-04T11:24:24Z" level=info msg="Started plugin 10-kube-network-policies..."
I0404 11:24:24.521791       1 shared_informer.go:357] "Caches are synced" controller="kube-network-policies"
I0404 11:24:24.521809       1 metrics.go:72] Registering metrics
I0404 11:24:24.521876       1 controller.go:711] "Syncing nftables rules"
I0404 11:24:24.522654       1 nri.go:56] Synchronized state with the runtime (6 pods, 6 containers)...
I0404 11:24:34.330963       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:24:34.330998       1 main.go:301] handling current node
I0404 11:24:44.333257       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:24:44.333319       1 main.go:301] handling current node
I0404 11:24:54.330440       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:24:54.330511       1 main.go:301] handling current node
I0404 11:25:04.334167       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:25:04.334230       1 main.go:301] handling current node
I0404 11:25:14.333892       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:25:14.333947       1 main.go:301] handling current node
I0404 11:25:24.329626       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:25:24.329664       1 main.go:301] handling current node
I0404 11:25:34.340655       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:25:34.340708       1 main.go:301] handling current node
I0404 11:25:44.330878       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:25:44.330922       1 main.go:301] handling current node
I0404 11:25:54.330719       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:25:54.330778       1 main.go:301] handling current node
I0404 11:26:04.339271       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:26:04.339382       1 main.go:301] handling current node
I0404 11:26:14.333198       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:26:14.333257       1 main.go:301] handling current node
I0404 11:26:24.331838       1 main.go:297] Handling node with IPs: map[172.25.0.2:{}]
I0404 11:26:24.331888       1 main.go:301] handling current node
